"시나리오별(1)","시도별(1)","성별(1)","연령별(1)",연령별(2),2017,2018,2019,2020,2021
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","65 - 69세",소계,455170,462000,475423,509622,545908
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","65 - 69세",65세,102428,104738,106382,131226,123398
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","65 - 69세",66세,83319,99789,102546,104439,128454
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","65 - 69세",67세,93829,81161,98072,100500,102001
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","65 - 69세",68세,87369,91313,79201,95984,98179
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","65 - 69세",69세,88225,84999,89222,77473,93876
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","70 - 74세",소계,345905,354357,369548,386879,398468
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","70 - 74세",70세,86502,85822,82936,87311,75646
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","70 - 74세",71세,61002,84188,83696,81200,85340
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","70 - 74세",72세,66448,59281,82449,81677,79295
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","70 - 74세",73세,62506,64532,57689,80494,79711
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","70 - 74세",74세,69447,60534,62778,56197,78476
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","75 - 79세",소계,258466,276697,282988,290507,288219
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","75 - 79세",75세,67082,67108,58946,61047,54616
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","75 - 79세",76세,54897,64678,64994,57238,59314
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","75 - 79세",77세,49710,52834,62666,62885,55349
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","75 - 79세",78세,46499,47611,50830,60553,60692
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","75 - 79세",79세,40278,44466,45552,48784,58248
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","80세이상",소계,232567,248782,269537,289744,313044
