"운영기관별(1)","시점",운임손실 (원),수송원가 (원),평균운임 (원),기본운임 (원)
"서울교통공사","2017",499,1441,942,1250
"서울교통공사","2018",510,1456,946,1250
"서울교통공사","2019",501,1446,945,1250
"서울교통공사","2020",1128,2081,953,1250
"서울교통공사","2021",1005,2003,998,1250
"서울메트로 9호선㈜","2017",300,1294,994,1250
"서울메트로 9호선㈜","2018",369,1336,967,1250
"서울메트로 9호선㈜","2019",347,1329,982,1250
"서울메트로 9호선㈜","2020",689,1690,1001,1250
"서울메트로 9호선㈜","2021",672,1668,996,1250
"서울교통공사9호선운영부문","2017",268,1317,1049,1250
"서울교통공사9호선운영부문","2018",288,1333,1045,1250
"서울교통공사9호선운영부문","2019",24,1037,1013,1250
"서울교통공사9호선운영부문","2020",341,1359,1018,1250
"서울교통공사9호선운영부문","2021",292,1305,1013,1250
"부산교통공사","2017",1113,1907,794,1300
"부산교통공사","2018",1171,1982,811,1300
"부산교통공사","2019",1138,1926,788,1300
"부산교통공사","2020",2059,2834,775,1300
"부산교통공사","2021",2090,2857,767,1300
"대구도시철도공사","2017",1882,2634,752,1250
"대구도시철도공사","2018",1902,2643,741,1250
"대구도시철도공사","2019",2004,2725,721,1250
"대구도시철도공사","2020",3566,4266,700,1250
"대구도시철도공사","2021",3255,3949,694,1250
"인천교통공사","2017",1069,1787,718,1250
"인천교통공사","2018",1184,1931,747,1250
"인천교통공사","2019",1117,1910,793,1250
"인천교통공사","2020",1742,2590,848,1250
"인천교통공사","2021",1928,2769,841,1250
"광주광역시 도시철도공사","2017",3907,5193,1286,1250
"광주광역시 도시철도공사","2018",4119,5373,1254,1250
"광주광역시 도시철도공사","2019",4088,5339,1251,1250
"광주광역시 도시철도공사","2020",6302,7826,1524,1250
"광주광역시 도시철도공사","2021",6310,7725,1415,1250
"대전교통공사","2017",1918,2684,766,1250
"대전교통공사","2018",1980,2736,756,1250
"대전교통공사","2019",1999,2747,748,1250
"대전교통공사","2020",3692,4462,770,1250
"대전교통공사","2021",3583,4350,767,1250
"부산-김해 경전철(주)","2017",1489,2529,1040,1400
"부산-김해 경전철(주)","2018",1453,2515,1062,1400
"부산-김해 경전철(주)","2019",1551,2612,1061,1400
"부산-김해 경전철(주)","2020",2734,3795,1061,1400
"부산-김해 경전철(주)","2021",2749,3795,1046,1400
"의정부경량전철㈜","2017",-,-,704,1350
"의정부경량전철㈜","2018",-,-,690,1350
"의정부경량전철㈜","2019",1403,2093,690,1550
"의정부경량전철㈜","2020",1952,2744,792,1550
"의정부경량전철㈜","2021",1389,2144,755,1550
"용인 경량전철㈜","2017",2041,2788,747,1450
"용인 경량전철㈜","2018",1580,2330,750,1450
"용인 경량전철㈜","2019",1428,2185,757,1450
"용인 경량전철㈜","2020",2354,3112,758,1450
"용인 경량전철㈜","2021",2016,2768,752,1450
"우이 신설경전철(주)","2017",2067,2841,774,1250
"우이 신설경전철(주)","2018",1204,1974,770,1250
"우이 신설경전철(주)","2019",1058,1813,755,1250
"우이 신설경전철(주)","2020",1538,2300,762,1250
"우이 신설경전철(주)","2021",1494,2246,752,1250
"김포골드라인(주)","2021",812,1620,808,1250
